EquipID	Year	Make	Model	Description	Dept	SalePrice	SaleDate	AuctionHouse
23028	2002	CHEVROLET	EXPRESS	CARGO VAN - ELECTRICIAN	FAS	6601	10/23/2014 0:00	MURPHYS AUCTION
S2556	1998	WESTERN	TRAILER	TRAILER - 7000 LB DUMP	SPU	3000	11/8/2013 0:00	MURPHYS AUCTION
53608	2005	DODGE	CARAVAN	CARGO MINIVAN	SPU	2600	1/8/2015 0:00	MURPHYS AUCTION
21235	2002	DODGE	NEON	SEDAN SUBCOMPACT	HEALTH	3500	2/6/2013 0:00	MURPHYS AUCTION
11213	2001	PLYMOUTH	NEON	SUBCOMPACT SEDAN	SFD	2125.66	3/12/2013 0:00	BIDADOO ONLINE AUCTION
89113	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	1000	6/25/2014 0:00	MURPHYS AUCTION
89141	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	2750	5/15/2015 0:00	BIDADOO ONLINE AUCTION
79951	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	1925	10/11/2013 0:00	BIDADOO ONLINE AUCTION
49776	2004	FORD	CROWN VICTORIA	PATROL CAR - K9 TRAINING	SPD	1825	5/6/2014 0:00	BIDADOO ONLINE AUCTION
79960	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	1925	7/2/2014 0:00	BIDADOO ONLINE AUCTION
31471	2010	FORD	CROWN VICTORIA	PATROL CAR	SPD	210	6/25/2014 0:00	MURPHYS AUCTION
89163	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	2300	4/22/2015 0:00	MURPHYS AUCTION
89154	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	1000	1/8/2015 0:00	MURPHYS AUCTION
69896	2006	FORD	CROWN VICTORIA	PATROL CAR	SPD	1450	2/25/2015 0:00	MURPHYS AUCTION
79983	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	700	1/8/2015 0:00	MURPHYS AUCTION
79982	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	155	6/25/2014 0:00	MURPHYS AUCTION
89183	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	2150	4/22/2015 0:00	MURPHYS AUCTION
45367	2004	FORD	E450	MEDIC AID VAN - 2ND  REMOUNT - A/M-86	SFD	6253.51	3/12/2013 0:00	BIDADOO ONLINE AUCTION
3301	2000	FORD	F250	PICKUP	DPR	4300	5/6/2014 0:00	BIDADOO ONLINE AUCTION
13781	2001	FORD	F250	TRUCK SERVICE BODY	SFD	6405	10/2/2014 0:00	BIDADOO ONLINE AUCTION
23310	2002	FORD	F250	PICKUP	DPR	9322	5/21/2013 0:00	BIDADOO ONLINE AUCTION
82464	2001	FORD	F250	PICKUP	DPR	3500	2/14/2013 0:00	MURPHYS AUCTION
23974	2002	FORD	F250	PICKUP - CREW CAB	DPR	6600	3/20/2013 0:00	BIDADOO ONLINE AUCTION
23062	2002	FORD	F250	PICKUP - CREW CAB	DPR	3600	10/23/2014 0:00	MURPHYS AUCTION
14659	2001	FORD	F250	PICKUP - FLATBED - 4X4	SPU	8200	1/7/2015 0:00	BIDADOO ONLINE AUCTION
63383	2006	FORD	F350	PICKUP - FLATBED - PRESSURE WASHER	DPR	8501.5	4/22/2015 0:00	MURPHYS AUCTION
24643	2002	FORD	F350	PICKUP - SERVICE BODY - 4X4	SPU	16500	6/25/2014 0:00	MURPHYS AUCTION
53251	2005	FORD	F350	PICKUP - ANIMAL CONTROL BODY	FAS	4376.01	9/6/2013 0:00	BIDADOO ONLINE AUCTION
33317	2003	FORD	F350	PICKUP - CREW CAB	DPR	4250	1/8/2015 0:00	MURPHYS AUCTION
993354	1999	FORD	F550	TRUCK - DUMPING FLATBED - CLASS 5	DPR	15250	4/22/2015 0:00	MURPHYS AUCTION
43703	2004	FORD	F550	TRUCK - DUMP - PLOW - CLASS 5	SDOT	12500	6/25/2014 0:00	MURPHYS AUCTION
73597	2007	FORD	RANGER	COMPACT PICKUP	SDOT	7300	7/2/2014 0:00	BIDADOO ONLINE AUCTION
3332	1992	GMC	RALLY	PASSENGER VAN	DPR	1050	10/23/2014 0:00	MURPHYS AUCTION
97636	2009	HARLEY-DAVIDSON	FLHPI ROAD KING	POLICE MOTORCYCLE	SPD	9151	5/6/2015 0:00	BIDADOO ONLINE AUCTION
31815	2003	HONDA	CIVIC GX	SUBCOMPACT SEDAN - DEDICATED CNG	SFD	5790.58	2/5/2014 0:00	BIDADOO ONLINE AUCTION
85877	2002	PETERBILT	330	TRUCK - AERIAL LIFT - CHIP BODY	DPR	43100	4/24/2013 0:00	BIDADOO ONLINE AUCTION
45521	2004	PETERBILT	320	TRUCK - EDUCTOR - VAC CON	SPU	57500	8/8/2014 0:00	MURPHYS AUCTION
S0570	1994	SNIPER	747-4000	TRAILER - SEWER JET	SPU	2000	11/8/2013 0:00	MURPHYS AUCTION
52081	2005	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	DPD	9600	11/6/2014 0:00	BIDADOO ONLINE AUCTION
51136	2005	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	DPD	9000	10/23/2014 0:00	MURPHYS AUCTION
51432	2005	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	SDOT	10111.11	11/6/2014 0:00	BIDADOO ONLINE AUCTION
956451	1995	WALTON	40KTP-XL	TRAILER - TILT DECK - 40000 LB GVWR	SDOT	10600	3/21/2013 0:00	BIDADOO ONLINE AUCTION
75519	2007	PETERBILT	335	TRUCK - FLATBED - CLASS 7	SDOT	45100	1/29/2013 0:00	BIDADOO ONLINE AUCTION
75743	2007	STERLING	SC8000	SWEEPER - MECHANICAL	SDOT	52800	5/6/2014 0:00	BIDADOO ONLINE AUCTION
79935	2007	DODGE	CHARGER	PATROL CAR - DUI	SPD	4500	1/8/2015 0:00	MURPHYS AUCTION
55538	2005	CASE	590M	BACKHOE LOADER - 19500 LB - BREAKER  4X4	SDOT	59201	12/19/2013 0:00	BIDADOO ONLINE AUCTION
86519	2008	JOHN DEERE	1565 MOWER	MOWER - 72" ROTARY	SPU	18500	2/3/2014 0:00	MURPHYS AUCTION
38255	2003	GO-4	INTERCEPTOR II	PEO SCOOTER	SPD	1050	12/20/2013 0:00	MURPHYS AUCTION
58271	2005	GO-4	INTERCEPTOR II	PEO SCOOTER	SPD	4600	4/21/2014 0:00	MURPHYS AUCTION
85533	2008	HYPAC	C530AH	ROLLER - 11 TON PNEUMATIC	SDOT	15400	10/15/2014 0:00	BIDADOO ONLINE AUCTION
87501	2008	POWER CURBER	PC-150	POWER CURBER	SDOT	2750	1/8/2015 0:00	MURPHYS AUCTION
36500	2003	CATERPILLAR	420D	BACKHOE LOADER - 16000 LB - BREAKER	SPU	24000	9/27/2013 0:00	MURPHYS AUCTION
